子彈 bullet
包子 bun
肉丸 meatball
書 book
收割機 harvester
水車 waterwheel
時鐘 clock
相機 cemera
石像 stonestatue
睡衣 pajamas
梳子 comb
手機 smartphone
沙發 sofa
襯衫 shirt
長褲 pant
充電器 charger
中秋節 midautumnfes
枕頭 pillow
行動電源 power
樂器 instrument
信封 letter
橡皮擦 eraser
旗子 flag
剪刀 scissors
膠帶 tape
健保卡 card
迴紋針 paperclip
護照 passport
貨幣 currency
口風琴 korean
刮鬍刀 razor
裙子 skirt
垃圾桶 trashcan
太陽 sun
拖鞋 slipper
釘書機 stapler
端午節 dragonboat
風扇 fan
電子琴 keyboard
房子 house
肥皂 soap
馬克杯 mug
棉被 swab
棉花棒 cotton
盆栽 plant
錢包 wallet
鞋子 shoe
便利貼 notepaper
筆記本 notebook
筆記電腦 laptop
背心 vest
